Linux 6.1.141 (king) 	08/20/2026 	_aarch64_	(8 CPU)

01:14:25 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:14:38 PM    2   21.65    0.00   10.31    0.00    0.00    9.28    0.00    0.00    0.00   58.76
01:14:38 PM    3   21.65    0.00    8.25    0.00    0.00    0.00    0.00    0.00    0.00   70.10
01:14:38 PM    4   33.33    0.00   30.11    0.00    0.00    0.00    0.00    0.00    0.00   36.56
01:14:38 PM    5   36.46    0.00   21.88    0.00    0.00    9.38    0.00    0.00    0.00   32.29
01:14:38 PM    6   28.87    0.00   26.80    0.00    0.00    0.00    0.00    0.00    0.00   44.33
01:14:38 PM    7   31.18    0.00   23.66    0.00    0.00    0.00    0.00    0.00    0.00   45.16

01:14:38 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:14:39 PM  all   22.61    0.00   14.64    0.00    0.00    8.76    0.00    0.00    0.00   53.99
01:14:39 PM    0   16.33    0.00    7.14    0.00    0.00   52.04    0.00    0.00    0.00   24.49
01:14:39 PM    1   25.00    0.00   10.42    0.00    0.00    0.00    0.00    0.00    0.00   64.58
01:14:39 PM    2   24.47    0.00   12.77    0.00    0.00    9.57    0.00    0.00    0.00   53.19
01:14:39 PM    3   27.55    0.00   13.27    0.00    0.00    1.02    0.00    0.00    0.00   58.16
01:14:39 PM    4   24.73    0.00   19.35    0.00    0.00    0.00    0.00    0.00    0.00   55.91
01:14:39 PM    5   22.11    0.00   18.95    0.00    0.00    6.32    0.00    0.00    0.00   52.63
01:14:39 PM    6   19.15    0.00   15.96    0.00    0.00    0.00    0.00    0.00    0.00   64.89
01:14:39 PM    7   21.65    0.00   19.59    0.00    0.00    0.00    0.00    0.00    0.00   58.76

01:14:39 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:14:40 PM  all   24.25    0.00   14.92    0.00    0.00    9.47    0.00    0.00    0.00   51.36
01:14:40 PM    0   11.00    0.00    8.00    0.00    0.00   58.00    0.00    0.00    0.00   23.00
01:14:40 PM    1   24.74    0.00   11.34    0.00    0.00    0.00    0.00    0.00    0.00   63.92
01:14:40 PM    2   22.45    0.00   12.24    0.00    0.00    9.18    0.00    0.00    0.00   56.12
01:14:40 PM    3   25.26    0.00   10.53    0.00    0.00    0.00    0.00    0.00    0.00   64.21
01:14:40 PM    4   29.59    0.00   21.43    0.00    0.00    0.00    0.00    0.00    0.00   48.98
01:14:40 PM    5   27.96    0.00   19.35    0.00    0.00    6.45    0.00    0.00    0.00   46.24
01:14:40 PM    6   26.80    0.00   19.59    0.00    0.00    0.00    0.00    0.00    0.00   53.61
01:14:40 PM    7   26.88    0.00   17.20    0.00    0.00    0.00    0.00    0.00    0.00   55.91

